id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,,,,
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.630,0.804,6.000,-4.183,1.000,0.036,0.215,0,0.253,0.492,123.146,220293.000,4.000,,,,
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1.000,-3.112,0.000,0.059,0.165,0,0.050,0.794,94.968,201526.000,4.000,,,,
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.814,0.813,2.000,-3.023,0.000,0.056,0.030,9.33E-05,0.255,0.839,79.997,232550.000,4.000,,,,
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.876,0.519,11.000,-6.531,1.000,0.143,0.202,0,0.108,0.158,94.981,175230.000,4.000,,,,
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4.000,-10.109,0.000,0.033,0.934,0,0.095,0.120,115.284,200186.000,4.000,,,,
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,0.816,2.000,-5.474,1.000,0.269,0.003,0,0.159,0.498,181.967,190288.000,4.000,,,,
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.908,0.621,1.000,-6.638,0.000,0.102,0.000,5.39E-05,0.096,0.421,150.011,177000.000,4.000,,,,
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,0.805,6.000,-4.249,1.000,0.075,0.315,0,0.203,0.555,93.983,176133.000,4.000,,,,
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,8.000,-7.365,1.000,0.026,0.779,0,0.123,0.356,94.992,259550.000,3.000,,,,
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,9.000,-6.073,0.000,0.247,0.328,1.47E-05,0.198,0.748,198.075,184720.000,4.000,,,,
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.798,0.539,1.000,-6.351,1.000,0.042,0.199,1.66E-05,0.165,0.394,136.949,202547.000,4.000,,,,
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,0.855,0.664,9.000,-7.110,0.000,0.061,0.165,3.97E-05,0.094,0.626,98.015,226800.000,4.000,,,,
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,0.775,0.679,4.000,-4.985,0.000,0.135,0.180,7.26E-05,0.068,0.619,166.008,193456.000,4.000,,,,
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,0.909,0.493,3.000,-6.688,1.000,0.074,0.128,0.000147,0.127,0.844,94.016,197120.000,4.000,,,,
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,0.781,0.768,11.000,-5.991,1.000,0.039,0.012,4.91E-06,0.325,0.486,123.070,213309.000,4.000,,,,
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,0.964,0.346,5.000,-9.309,0.000,0.530,0.035,0,0.108,0.562,119.958,142273.000,4.000,,,,
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,0.752,0.505,9.000,-7.621,1.000,0.253,0.535,2.55E-06,0.104,0.419,91.970,197437.000,4.000,,,,
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,0.284,0.704,2.000,-7.276,1.000,0.186,0.006,0.000115,0.042,0.100,191.702,234707.000,4.000,,,,
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.570,7.000,-7.066,0.000,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467.000,4.000,,,,
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,0.684,0.619,10.000,-7.005,1.000,0.039,0.072,0,0.122,0.284,125.046,217440.000,4.000,,,,
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,3.000,-6.318,1.000,0.046,0.245,3.77E-06,0.092,0.330,105.076,205748.000,4.000,,,,
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,0.552,0.760,0.000,-4.706,1.000,0.342,0.073,0,0.865,0.639,135.702,260000.000,5.000,,,,
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11.000,-6.593,0.000,0.039,0.101,1.27E-06,0.106,0.097,180.043,239000.000,4.000,,,,
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,0.553,0.586,11.000,-6.319,1.000,0.036,0.697,0,0.890,0.443,126.684,196373.000,4.000,,,,
